"","ccode","year","month","failed_coup","success_coup","coup","issue1"
"1",101,1946,12,1,NA,1,NA
"2",101,1947,1,NA,NA,0,NA
"3",101,1947,2,NA,NA,0,NA
"4",101,1947,3,NA,NA,0,NA
"5",101,1947,4,NA,NA,0,NA
"6",101,1947,5,NA,NA,0,NA
"7",101,1947,6,NA,NA,0,NA
"8",101,1947,7,NA,NA,0,NA
"9",101,1947,8,NA,NA,0,NA
"10",101,1947,9,1,NA,1,NA
"11",101,1947,10,NA,NA,0,NA
"12",101,1947,11,NA,NA,0,NA
"13",101,1947,12,NA,NA,0,NA
"14",101,1948,1,NA,NA,0,NA
"15",101,1948,2,NA,NA,0,NA
"16",101,1948,3,NA,NA,0,NA
"17",101,1948,4,NA,NA,0,NA
"18",101,1948,5,NA,NA,0,NA
"19",101,1948,6,NA,NA,0,NA
"20",101,1948,7,NA,NA,0,NA
"21",101,1948,8,NA,NA,0,NA
"22",101,1948,9,NA,NA,0,NA
"23",101,1948,10,NA,NA,0,NA
"24",101,1948,11,NA,1,1,NA
"25",101,1948,12,NA,NA,0,NA
"26",101,1949,1,NA,NA,0,NA
"27",101,1949,2,NA,NA,0,NA
"28",101,1949,3,NA,NA,0,NA
"29",101,1949,4,NA,NA,0,NA
"30",101,1949,5,NA,NA,0,NA
"31",101,1949,6,NA,NA,0,NA
"32",101,1949,7,NA,NA,0,NA
"33",101,1949,8,NA,NA,0,NA
"34",101,1949,9,NA,NA,0,NA
"35",101,1949,10,NA,NA,0,NA
"36",101,1949,11,NA,NA,0,NA
"37",101,1949,12,NA,NA,0,NA
"38",101,1950,1,NA,NA,0,NA
"39",101,1950,2,NA,NA,0,NA
"40",101,1950,3,NA,NA,0,NA
"41",101,1950,4,NA,NA,0,NA
"42",101,1950,5,NA,NA,0,NA
"43",101,1950,6,NA,NA,0,NA
"44",101,1950,7,NA,NA,0,NA
"45",101,1950,8,NA,NA,0,NA
"46",101,1950,9,NA,NA,0,NA
"47",101,1950,10,NA,NA,0,NA
"48",101,1950,11,NA,NA,0,NA
"49",101,1950,12,NA,NA,0,NA
"50",101,1951,1,NA,NA,0,NA
"51",101,1951,2,NA,NA,0,NA
"52",101,1951,3,NA,NA,0,NA
"53",101,1951,4,NA,NA,0,NA
"54",101,1951,5,NA,NA,0,NA
"55",101,1951,6,NA,NA,0,NA
"56",101,1951,7,NA,NA,0,NA
"57",101,1951,8,NA,NA,0,NA
"58",101,1951,9,NA,NA,0,NA
"59",101,1951,10,NA,NA,0,NA
"60",101,1951,11,NA,NA,0,NA
"61",101,1951,12,NA,NA,0,NA
"62",101,1952,1,NA,NA,0,NA
"63",101,1952,2,NA,NA,0,NA
"64",101,1952,3,NA,NA,0,NA
"65",101,1952,4,NA,NA,0,NA
"66",101,1952,5,NA,NA,0,NA
"67",101,1952,6,NA,NA,0,NA
"68",101,1952,7,NA,NA,0,NA
"69",101,1952,8,NA,NA,0,NA
"70",101,1952,9,1,NA,1,NA
"71",101,1952,10,NA,NA,0,NA
"72",101,1952,11,NA,NA,0,NA
"73",101,1952,12,NA,NA,0,NA
"74",101,1953,1,NA,NA,0,NA
"75",101,1953,2,NA,NA,0,NA
"76",101,1953,3,NA,NA,0,NA
"77",101,1953,4,NA,NA,0,NA
"78",101,1953,5,NA,NA,0,NA
"79",101,1953,6,NA,NA,0,NA
"80",101,1953,7,NA,NA,0,NA
"81",101,1953,8,NA,NA,0,NA
"82",101,1953,9,NA,NA,0,NA
"83",101,1953,10,NA,NA,0,NA
"84",101,1953,11,NA,NA,0,NA
"85",101,1953,12,NA,NA,0,NA
"86",101,1954,1,NA,NA,0,NA
"87",101,1954,2,NA,NA,0,NA
"88",101,1954,3,NA,NA,0,NA
"89",101,1954,4,NA,NA,0,NA
"90",101,1954,5,NA,NA,0,NA
"91",101,1954,6,NA,NA,0,NA
"92",101,1954,7,NA,NA,0,NA
"93",101,1954,8,NA,NA,0,NA
"94",101,1954,9,NA,NA,0,NA
"95",101,1954,10,NA,NA,0,NA
"96",101,1954,11,NA,NA,0,NA
"97",101,1954,12,NA,NA,0,NA
"98",101,1955,1,NA,NA,0,NA
"99",101,1955,2,NA,NA,0,NA
"100",101,1955,3,NA,NA,0,NA
"101",101,1955,4,NA,NA,0,NA
"102",101,1955,5,NA,NA,0,NA
"103",101,1955,6,NA,NA,0,NA
"104",101,1955,7,NA,NA,0,NA
"105",101,1955,8,NA,NA,0,NA
"106",101,1955,9,NA,NA,0,NA
"107",101,1955,10,NA,NA,0,NA
"108",101,1955,11,NA,NA,0,NA
"109",101,1955,12,NA,NA,0,NA
"110",101,1956,1,NA,NA,0,NA
"111",101,1956,2,NA,NA,0,NA
"112",101,1956,3,NA,NA,0,NA
"113",101,1956,4,NA,NA,0,NA
"114",101,1956,5,NA,NA,0,NA
"115",101,1956,6,NA,NA,0,NA
"116",101,1956,7,NA,NA,0,NA
"117",101,1956,8,NA,NA,0,NA
"118",101,1956,9,NA,NA,0,NA
"119",101,1956,10,NA,NA,0,NA
"120",101,1956,11,NA,NA,0,NA
"121",101,1956,12,NA,NA,0,NA
"122",101,1957,1,NA,NA,0,NA
"123",101,1957,2,NA,NA,0,NA
"124",101,1957,3,NA,NA,0,NA
"125",101,1957,4,NA,NA,0,NA
"126",101,1957,5,NA,NA,0,NA
"127",101,1957,6,NA,NA,0,NA
"128",101,1957,7,NA,NA,0,NA
"129",101,1957,8,NA,NA,0,NA
"130",101,1957,9,NA,NA,0,NA
"131",101,1957,10,NA,NA,0,NA
"132",101,1957,11,NA,NA,0,NA
"133",101,1957,12,NA,NA,0,NA
"134",101,1958,1,1,1,1,NA
"135",101,1958,2,NA,NA,0,NA
"136",101,1958,3,NA,NA,0,NA
"137",101,1958,4,NA,NA,0,NA
"138",101,1958,5,NA,NA,0,NA
"139",101,1958,6,NA,NA,0,NA
"140",101,1958,7,1,NA,1,NA
"141",101,1958,8,NA,NA,0,NA
"142",101,1958,9,1,NA,1,NA
"143",101,1958,10,NA,NA,0,NA
"144",101,1958,11,NA,NA,0,NA
"145",101,1958,12,NA,NA,0,NA
"146",101,1959,1,NA,NA,0,NA
"147",101,1959,2,NA,NA,0,NA
"148",101,1959,3,NA,NA,0,NA
"149",101,1959,4,NA,NA,0,NA
"150",101,1959,5,NA,NA,0,NA
"151",101,1959,6,NA,NA,0,NA
"152",101,1959,7,NA,NA,0,NA
"153",101,1959,8,NA,NA,0,NA
"154",101,1959,9,NA,NA,0,NA
"155",101,1959,10,NA,NA,0,NA
"156",101,1959,11,NA,NA,0,NA
"157",101,1959,12,NA,NA,0,NA
"158",101,1960,1,NA,NA,0,NA
"159",101,1960,2,NA,NA,0,NA
"160",101,1960,3,NA,NA,0,NA
"161",101,1960,4,1,NA,1,NA
"162",101,1960,5,NA,NA,0,NA
"163",101,1960,6,NA,NA,0,NA
"164",101,1960,7,NA,NA,0,NA
"165",101,1960,8,NA,NA,0,NA
"166",101,1960,9,1,NA,1,NA
"167",101,1960,10,NA,NA,0,NA
"168",101,1960,11,NA,NA,0,NA
"169",101,1960,12,NA,NA,0,NA
"170",101,1961,1,NA,NA,0,NA
"171",101,1961,2,1,NA,1,NA
"172",101,1961,3,NA,NA,0,NA
"173",101,1961,4,NA,NA,0,NA
"174",101,1961,5,NA,NA,0,NA
"175",101,1961,6,1,NA,1,NA
"176",101,1961,7,NA,NA,0,NA
"177",101,1961,8,NA,NA,0,NA
"178",101,1961,9,NA,NA,0,NA
"179",101,1961,10,NA,NA,0,NA
"180",101,1961,11,NA,NA,0,NA
"181",101,1961,12,NA,NA,0,NA
"182",101,1962,1,NA,NA,0,NA
"183",101,1962,2,NA,NA,0,NA
"184",101,1962,3,NA,NA,0,NA
"185",101,1962,4,NA,NA,0,NA
"186",101,1962,5,1,NA,1,NA
"187",101,1962,6,1,NA,1,NA
"188",101,1962,7,NA,NA,0,NA
"189",101,1962,8,NA,NA,0,NA
"190",101,1962,9,NA,NA,0,NA
"191",101,1962,10,NA,NA,0,NA
"192",101,1962,11,NA,NA,0,NA
"193",101,1962,12,NA,NA,0,NA
"194",101,1963,1,NA,NA,0,NA
"195",101,1963,2,NA,NA,0,NA
"196",101,1963,3,NA,NA,0,NA
"197",101,1963,4,NA,NA,0,NA
"198",101,1963,5,NA,NA,0,NA
"199",101,1963,6,NA,NA,0,NA
"200",101,1963,7,NA,NA,0,NA
"201",101,1963,8,NA,NA,0,NA
"202",101,1963,9,NA,NA,0,NA
"203",101,1963,10,NA,NA,0,NA
"204",101,1963,11,NA,NA,0,NA
"205",101,1963,12,NA,NA,0,NA
"206",101,1964,1,NA,NA,0,NA
"207",101,1964,2,NA,NA,0,NA
"208",101,1964,3,NA,NA,0,NA
"209",101,1964,4,NA,NA,0,NA
"210",101,1964,5,NA,NA,0,NA
"211",101,1964,6,NA,NA,0,NA
"212",101,1964,7,NA,NA,0,NA
"213",101,1964,8,NA,NA,0,NA
"214",101,1964,9,NA,NA,0,NA
"215",101,1964,10,NA,NA,0,NA
"216",101,1964,11,NA,NA,0,NA
"217",101,1964,12,NA,NA,0,NA
"218",101,1965,1,NA,NA,0,NA
"219",101,1965,2,NA,NA,0,NA
"220",101,1965,3,NA,NA,0,NA
"221",101,1965,4,NA,NA,0,NA
"222",101,1965,5,NA,NA,0,NA
"223",101,1965,6,NA,NA,0,NA
"224",101,1965,7,NA,NA,0,NA
"225",101,1965,8,NA,NA,0,NA
"226",101,1965,9,NA,NA,0,NA
"227",101,1965,10,NA,NA,0,NA
"228",101,1965,11,NA,NA,0,NA
"229",101,1965,12,NA,NA,0,NA
"230",101,1966,1,NA,NA,0,NA
"231",101,1966,2,NA,NA,0,NA
"232",101,1966,3,NA,NA,0,NA
"233",101,1966,4,NA,NA,0,NA
"234",101,1966,5,NA,NA,0,NA
"235",101,1966,6,NA,NA,0,NA
"236",101,1966,7,NA,NA,0,NA
"237",101,1966,8,NA,NA,0,NA
"238",101,1966,9,NA,NA,0,NA
"239",101,1966,10,1,NA,1,NA
"240",101,1966,11,NA,NA,0,NA
"241",101,1966,12,NA,NA,0,NA
"242",101,1967,1,NA,NA,0,NA
"243",101,1967,2,NA,NA,0,NA
"244",101,1967,3,NA,NA,0,NA
"245",101,1967,4,NA,NA,0,NA
"246",101,1967,5,NA,NA,0,NA
"247",101,1967,6,NA,NA,0,NA
"248",101,1967,7,NA,NA,0,NA
"249",101,1967,8,NA,NA,0,NA
"250",101,1967,9,NA,NA,0,NA
"251",101,1967,10,NA,NA,0,NA
"252",101,1967,11,NA,NA,0,NA
"253",101,1967,12,NA,NA,0,NA
"254",101,1968,1,NA,NA,0,NA
"255",101,1968,2,NA,NA,0,NA
"256",101,1968,3,NA,NA,0,NA
"257",101,1968,4,NA,NA,0,NA
"258",101,1968,5,NA,NA,0,NA
"259",101,1968,6,NA,NA,0,NA
"260",101,1968,7,NA,NA,0,NA
"261",101,1968,8,NA,NA,0,NA
"262",101,1968,9,NA,NA,0,NA
"263",101,1968,10,NA,NA,0,NA
"264",101,1968,11,NA,NA,0,NA
"265",101,1968,12,NA,NA,0,NA
"266",101,1969,1,NA,NA,0,NA
"267",101,1969,2,NA,NA,0,NA
"268",101,1969,3,NA,NA,0,NA
"269",101,1969,4,NA,NA,0,NA
"270",101,1969,5,NA,NA,0,NA
"271",101,1969,6,NA,NA,0,NA
"272",101,1969,7,NA,NA,0,NA
"273",101,1969,8,NA,NA,0,NA
"274",101,1969,9,NA,NA,0,NA
"275",101,1969,10,NA,NA,0,NA
"276",101,1969,11,NA,NA,0,NA
"277",101,1969,12,NA,NA,0,NA
"278",101,1970,1,NA,NA,0,NA
"279",101,1970,2,NA,NA,0,NA
"280",101,1970,3,NA,NA,0,NA
"281",101,1970,4,NA,NA,0,NA
"282",101,1970,5,NA,NA,0,NA
"283",101,1970,6,NA,NA,0,NA
"284",101,1970,7,NA,NA,0,NA
"285",101,1970,8,NA,NA,0,NA
"286",101,1970,9,NA,NA,0,NA
"287",101,1970,10,NA,NA,0,NA
"288",101,1970,11,NA,NA,0,NA
"289",101,1970,12,NA,NA,0,NA
"290",101,1971,1,NA,NA,0,NA
"291",101,1971,2,NA,NA,0,NA
"292",101,1971,3,NA,NA,0,NA
"293",101,1971,4,NA,NA,0,NA
"294",101,1971,5,NA,NA,0,NA
"295",101,1971,6,NA,NA,0,NA
"296",101,1971,7,NA,NA,0,NA
"297",101,1971,8,NA,NA,0,NA
"298",101,1971,9,NA,NA,0,NA
"299",101,1971,10,NA,NA,0,NA
"300",101,1971,11,NA,NA,0,NA
"301",101,1971,12,NA,NA,0,NA
"302",101,1972,1,NA,NA,0,NA
"303",101,1972,2,NA,NA,0,NA
"304",101,1972,3,NA,NA,0,NA
"305",101,1972,4,NA,NA,0,NA
"306",101,1972,5,NA,NA,0,NA
"307",101,1972,6,NA,NA,0,NA
"308",101,1972,7,NA,NA,0,NA
"309",101,1972,8,NA,NA,0,NA
"310",101,1972,9,NA,NA,0,NA
"311",101,1972,10,NA,NA,0,NA
"312",101,1972,11,NA,NA,0,NA
"313",101,1972,12,NA,NA,0,NA
"314",101,1973,1,NA,NA,0,NA
"315",101,1973,2,NA,NA,0,NA
"316",101,1973,3,NA,NA,0,NA
"317",101,1973,4,NA,NA,0,NA
"318",101,1973,5,NA,NA,0,NA
"319",101,1973,6,NA,NA,0,NA
"320",101,1973,7,NA,NA,0,NA
"321",101,1973,8,NA,NA,0,NA
"322",101,1973,9,NA,NA,0,NA
"323",101,1973,10,NA,NA,0,NA
"324",101,1973,11,NA,NA,0,NA
"325",101,1973,12,NA,NA,0,NA
"326",101,1974,1,NA,NA,0,NA
"327",101,1974,2,NA,NA,0,NA
"328",101,1974,3,NA,NA,0,NA
"329",101,1974,4,NA,NA,0,NA
"330",101,1974,5,NA,NA,0,NA
"331",101,1974,6,NA,NA,0,NA
"332",101,1974,7,NA,NA,0,NA
"333",101,1974,8,NA,NA,0,NA
"334",101,1974,9,NA,NA,0,NA
"335",101,1974,10,NA,NA,0,NA
"336",101,1974,11,NA,NA,0,NA
"337",101,1974,12,NA,NA,0,NA
"338",101,1975,1,NA,NA,0,NA
"339",101,1975,2,NA,NA,0,NA
"340",101,1975,3,NA,NA,0,NA
"341",101,1975,4,NA,NA,0,NA
"342",101,1975,5,NA,NA,0,NA
"343",101,1975,6,NA,NA,0,NA
"344",101,1975,7,NA,NA,0,NA
"345",101,1975,8,NA,NA,0,NA
"346",101,1975,9,NA,NA,0,NA
"347",101,1975,10,NA,NA,0,NA
"348",101,1975,11,NA,NA,0,NA
"349",101,1975,12,NA,NA,0,NA
"350",101,1976,1,NA,NA,0,NA
"351",101,1976,2,NA,NA,0,NA
"352",101,1976,3,NA,NA,0,NA
"353",101,1976,4,NA,NA,0,NA
"354",101,1976,5,NA,NA,0,NA
"355",101,1976,6,NA,NA,0,NA
"356",101,1976,7,NA,NA,0,NA
"357",101,1976,8,NA,NA,0,NA
"358",101,1976,9,NA,NA,0,NA
"359",101,1976,10,NA,NA,0,NA
"360",101,1976,11,NA,NA,0,NA
"361",101,1976,12,NA,NA,0,NA
"362",101,1977,1,NA,NA,0,NA
"363",101,1977,2,NA,NA,0,NA
"364",101,1977,3,NA,NA,0,NA
"365",101,1977,4,NA,NA,0,NA
"366",101,1977,5,NA,NA,0,NA
"367",101,1977,6,NA,NA,0,NA
"368",101,1977,7,NA,NA,0,NA
"369",101,1977,8,NA,NA,0,NA
"370",101,1977,9,NA,NA,0,NA
"371",101,1977,10,NA,NA,0,NA
"372",101,1977,11,NA,NA,0,NA
"373",101,1977,12,NA,NA,0,NA
"374",101,1978,1,NA,NA,0,NA
"375",101,1978,2,NA,NA,0,NA
"376",101,1978,3,NA,NA,0,NA
"377",101,1978,4,NA,NA,0,NA
"378",101,1978,5,NA,NA,0,NA
"379",101,1978,6,NA,NA,0,NA
"380",101,1978,7,NA,NA,0,NA
"381",101,1978,8,NA,NA,0,NA
"382",101,1978,9,NA,NA,0,NA
"383",101,1978,10,NA,NA,0,NA
"384",101,1978,11,NA,NA,0,NA
"385",101,1978,12,NA,NA,0,NA
"386",101,1979,1,NA,NA,0,NA
"387",101,1979,2,NA,NA,0,NA
"388",101,1979,3,NA,NA,0,NA
"389",101,1979,4,NA,NA,0,NA
"390",101,1979,5,NA,NA,0,NA
"391",101,1979,6,NA,NA,0,NA
"392",101,1979,7,NA,NA,0,NA
"393",101,1979,8,NA,NA,0,NA
"394",101,1979,9,NA,NA,0,NA
"395",101,1979,10,NA,NA,0,NA
"396",101,1979,11,NA,NA,0,NA
"397",101,1979,12,NA,NA,0,NA
"398",101,1980,1,NA,NA,0,NA
"399",101,1980,2,NA,NA,0,NA
"400",101,1980,3,NA,NA,0,NA
"401",101,1980,4,NA,NA,0,NA
"402",101,1980,5,NA,NA,0,NA
"403",101,1980,6,NA,NA,0,NA
"404",101,1980,7,NA,NA,0,NA
"405",101,1980,8,NA,NA,0,NA
"406",101,1980,9,NA,NA,0,NA
"407",101,1980,10,NA,NA,0,NA
"408",101,1980,11,NA,NA,0,NA
"409",101,1980,12,NA,NA,0,NA
"410",101,1981,1,NA,NA,0,NA
"411",101,1981,2,NA,NA,0,NA
"412",101,1981,3,NA,NA,0,NA
"413",101,1981,4,NA,NA,0,NA
"414",101,1981,5,NA,NA,0,NA
"415",101,1981,6,NA,NA,0,NA
"416",101,1981,7,NA,NA,0,NA
"417",101,1981,8,NA,NA,0,NA
"418",101,1981,9,NA,NA,0,NA
"419",101,1981,10,NA,NA,0,NA
"420",101,1981,11,NA,NA,0,NA
"421",101,1981,12,NA,NA,0,NA
"422",101,1982,1,NA,NA,0,NA
"423",101,1982,2,NA,NA,0,NA
"424",101,1982,3,NA,NA,0,NA
"425",101,1982,4,NA,NA,0,NA
"426",101,1982,5,NA,NA,0,NA
"427",101,1982,6,NA,NA,0,NA
"428",101,1982,7,NA,NA,0,NA
"429",101,1982,8,NA,NA,0,NA
"430",101,1982,9,NA,NA,0,NA
"431",101,1982,10,NA,NA,0,NA
"432",101,1982,11,NA,NA,0,NA
"433",101,1982,12,NA,NA,0,NA
"434",101,1983,1,NA,NA,0,NA
"435",101,1983,2,NA,NA,0,NA
"436",101,1983,3,NA,NA,0,NA
"437",101,1983,4,NA,NA,0,NA
"438",101,1983,5,NA,NA,0,NA
"439",101,1983,6,NA,NA,0,NA
"440",101,1983,7,NA,NA,0,NA
"441",101,1983,8,NA,NA,0,NA
"442",101,1983,9,NA,NA,0,NA
"443",101,1983,10,NA,NA,0,NA
"444",101,1983,11,NA,NA,0,NA
"445",101,1983,12,NA,NA,0,NA
"446",101,1984,1,NA,NA,0,NA
"447",101,1984,2,NA,NA,0,NA
"448",101,1984,3,NA,NA,0,NA
"449",101,1984,4,NA,NA,0,NA
"450",101,1984,5,NA,NA,0,NA
"451",101,1984,6,NA,NA,0,NA
"452",101,1984,7,NA,NA,0,NA
"453",101,1984,8,NA,NA,0,NA
"454",101,1984,9,NA,NA,0,NA
"455",101,1984,10,NA,NA,0,NA
"456",101,1984,11,NA,NA,0,NA
"457",101,1984,12,NA,NA,0,NA
"458",101,1985,1,NA,NA,0,NA
"459",101,1985,2,NA,NA,0,NA
"460",101,1985,3,NA,NA,0,NA
"461",101,1985,4,NA,NA,0,NA
"462",101,1985,5,NA,NA,0,NA
"463",101,1985,6,NA,NA,0,NA
"464",101,1985,7,NA,NA,0,NA
"465",101,1985,8,NA,NA,0,NA
"466",101,1985,9,NA,NA,0,NA
"467",101,1985,10,NA,NA,0,NA
"468",101,1985,11,NA,NA,0,NA
"469",101,1985,12,NA,NA,0,NA
"470",101,1986,1,NA,NA,0,NA
"471",101,1986,2,NA,NA,0,NA
"472",101,1986,3,NA,NA,0,NA
"473",101,1986,4,NA,NA,0,NA
"474",101,1986,5,NA,NA,0,NA
"475",101,1986,6,NA,NA,0,NA
"476",101,1986,7,NA,NA,0,NA
"477",101,1986,8,NA,NA,0,NA
"478",101,1986,9,NA,NA,0,NA
"479",101,1986,10,NA,NA,0,NA
"480",101,1986,11,NA,NA,0,NA
"481",101,1986,12,NA,NA,0,NA
"482",101,1987,1,NA,NA,0,NA
"483",101,1987,2,NA,NA,0,NA
"484",101,1987,3,NA,NA,0,NA
"485",101,1987,4,NA,NA,0,NA
"486",101,1987,5,NA,NA,0,NA
"487",101,1987,6,NA,NA,0,NA
"488",101,1987,7,NA,NA,0,NA
"489",101,1987,8,NA,NA,0,NA
"490",101,1987,9,NA,NA,0,NA
"491",101,1987,10,NA,NA,0,NA
"492",101,1987,11,NA,NA,0,NA
"493",101,1987,12,NA,NA,0,NA
"494",101,1988,1,NA,NA,0,NA
"495",101,1988,2,NA,NA,0,NA
"496",101,1988,3,NA,NA,0,NA
"497",101,1988,4,NA,NA,0,NA
"498",101,1988,5,NA,NA,0,NA
"499",101,1988,6,NA,NA,0,NA
"500",101,1988,7,NA,NA,0,NA
"501",101,1988,8,NA,NA,0,NA
"502",101,1988,9,NA,NA,0,"12"
"503",101,1988,10,NA,NA,0,NA
"504",101,1988,11,NA,NA,0,NA
"505",101,1988,12,NA,NA,0,NA
"506",101,1989,1,NA,NA,0,NA
"507",101,1989,2,NA,NA,0,NA
"508",101,1989,3,NA,NA,0,NA
"509",101,1989,4,NA,NA,0,NA
"510",101,1989,5,NA,NA,0,NA
"511",101,1989,6,NA,NA,0,NA
"512",101,1989,7,NA,NA,0,NA
"513",101,1989,8,NA,NA,0,NA
"514",101,1989,9,NA,NA,0,NA
"515",101,1989,10,NA,NA,0,NA
"516",101,1989,11,NA,NA,0,NA
"517",101,1989,12,NA,NA,0,NA
"518",101,1990,1,NA,NA,0,NA
"519",101,1990,2,NA,NA,0,NA
"520",101,1990,3,NA,NA,0,NA
"521",101,1990,4,NA,NA,0,NA
"522",101,1990,5,NA,NA,0,NA
"523",101,1990,6,NA,NA,0,NA
"524",101,1990,7,NA,NA,0,NA
"525",101,1990,8,NA,NA,0,NA
"526",101,1990,9,NA,NA,0,NA
"527",101,1990,10,NA,NA,0,NA
"528",101,1990,11,NA,NA,0,NA
"529",101,1990,12,NA,NA,0,NA
"530",101,1991,1,NA,NA,0,NA
"531",101,1991,2,NA,NA,0,NA
"532",101,1991,3,NA,NA,0,"13"
"533",101,1991,4,NA,NA,0,NA
"534",101,1991,5,NA,NA,0,NA
"535",101,1991,6,NA,NA,0,NA
"536",101,1991,7,NA,NA,0,NA
"537",101,1991,8,NA,NA,0,NA
"538",101,1991,9,NA,NA,0,NA
"539",101,1991,10,NA,NA,0,NA
"540",101,1991,11,NA,NA,0,NA
"541",101,1991,12,NA,NA,0,NA
"542",101,1992,1,NA,NA,0,NA
"543",101,1992,2,1,NA,1,NA
"544",101,1992,3,NA,NA,0,NA
"545",101,1992,4,NA,NA,0,NA
"546",101,1992,5,NA,NA,0,NA
"547",101,1992,6,NA,NA,0,NA
"548",101,1992,7,NA,NA,0,NA
"549",101,1992,8,NA,NA,0,NA
"550",101,1992,9,NA,NA,0,NA
"551",101,1992,10,NA,NA,0,NA
"552",101,1992,11,1,NA,1,NA
"553",101,1992,12,NA,NA,0,NA
"554",101,1993,1,NA,NA,0,NA
"555",101,1993,2,NA,NA,0,NA
"556",101,1993,3,NA,NA,0,NA
"557",101,1993,4,NA,NA,0,NA
"558",101,1993,5,NA,NA,0,NA
"559",101,1993,6,NA,NA,0,NA
"560",101,1993,7,NA,NA,0,NA
"561",101,1993,8,NA,NA,0,NA
"562",101,1993,9,NA,NA,0,NA
"563",101,1993,10,NA,NA,0,NA
"564",101,1993,11,NA,NA,0,NA
"565",101,1993,12,NA,NA,0,NA
"566",101,1994,1,NA,NA,0,NA
"567",101,1994,2,NA,NA,0,NA
"568",101,1994,3,NA,NA,0,NA
"569",101,1994,4,NA,NA,0,NA
"570",101,1994,5,NA,NA,0,NA
"571",101,1994,6,NA,NA,0,NA
"572",101,1994,7,NA,NA,0,NA
"573",101,1994,8,NA,NA,0,NA
"574",101,1994,9,NA,NA,0,NA
"575",101,1994,10,NA,NA,0,NA
"576",101,1994,11,NA,NA,0,NA
"577",101,1994,12,NA,NA,0,NA
"578",101,1995,1,NA,NA,0,NA
"579",101,1995,2,NA,NA,0,NA
"580",101,1995,3,NA,NA,0,NA
"581",101,1995,4,NA,NA,0,NA
"582",101,1995,5,NA,NA,0,NA
"583",101,1995,6,NA,NA,0,NA
"584",101,1995,7,NA,NA,0,NA
"585",101,1995,8,NA,NA,0,NA
"586",101,1995,9,NA,NA,0,NA
"587",101,1995,10,NA,NA,0,NA
"588",101,1995,11,NA,NA,0,NA
"589",101,1995,12,NA,NA,0,NA
"590",101,1996,1,NA,NA,0,NA
"591",101,1996,2,NA,NA,0,NA
"592",101,1996,3,NA,NA,0,"12"
"593",101,1996,4,NA,NA,0,NA
"594",101,1996,5,NA,NA,0,NA
"595",101,1996,6,NA,NA,0,NA
"596",101,1996,7,NA,NA,0,NA
"597",101,1996,8,NA,NA,0,NA
"598",101,1996,9,NA,NA,0,NA
"599",101,1996,10,NA,NA,0,NA
"600",101,1996,11,NA,NA,0,NA
"601",101,1996,12,NA,NA,0,NA
"602",101,1997,1,NA,NA,0,NA
"603",101,1997,2,NA,NA,0,NA
"604",101,1997,3,NA,NA,0,NA
"605",101,1997,4,NA,NA,0,NA
"606",101,1997,5,NA,NA,0,NA
"607",101,1997,6,NA,NA,0,NA
"608",101,1997,7,NA,NA,0,NA
"609",101,1997,8,NA,NA,0,NA
"610",101,1997,9,NA,NA,0,NA
"611",101,1997,10,NA,NA,0,NA
"612",101,1997,11,NA,NA,0,NA
"613",101,1997,12,NA,NA,0,NA
"614",101,1998,1,NA,NA,0,NA
"615",101,1998,2,NA,NA,0,NA
"616",101,1998,3,NA,NA,0,NA
"617",101,1998,4,NA,NA,0,NA
"618",101,1998,5,NA,NA,0,NA
"619",101,1998,6,NA,NA,0,NA
"620",101,1998,7,NA,NA,0,NA
"621",101,1998,8,NA,NA,0,NA
"622",101,1998,9,NA,NA,0,NA
"623",101,1998,10,NA,NA,0,NA
"624",101,1998,11,NA,NA,0,NA
"625",101,1998,12,NA,NA,0,NA
"626",101,1999,1,NA,NA,0,NA
"627",101,1999,2,NA,NA,0,NA
"628",101,1999,3,NA,NA,0,NA
"629",101,1999,4,NA,NA,0,NA
"630",101,1999,5,NA,NA,0,NA
"631",101,1999,6,NA,NA,0,NA
"632",101,1999,7,NA,NA,0,NA
"633",101,1999,8,NA,NA,0,NA
"634",101,1999,9,NA,NA,0,NA
"635",101,1999,10,NA,NA,0,NA
"636",101,1999,11,NA,NA,0,NA
"637",101,1999,12,NA,NA,0,NA
"638",101,2000,1,NA,NA,0,NA
"639",101,2000,2,NA,NA,0,NA
"640",101,2000,3,NA,NA,0,NA
"641",101,2000,4,NA,NA,0,NA
"642",101,2000,5,NA,NA,0,NA
"643",101,2000,6,NA,NA,0,"15"
"644",101,2000,7,NA,NA,0,NA
"645",101,2000,8,NA,NA,0,NA
"646",101,2000,9,NA,NA,0,"13"
"647",101,2000,10,NA,NA,0,NA
"648",101,2000,11,NA,NA,0,NA
"649",101,2000,12,NA,NA,0,NA
"650",101,2001,1,NA,NA,0,NA
"651",101,2001,2,NA,NA,0,NA
"652",101,2001,3,NA,NA,0,NA
"653",101,2001,4,NA,NA,0,NA
"654",101,2001,5,NA,NA,0,NA
"655",101,2001,6,NA,NA,0,NA
"656",101,2001,7,NA,NA,0,NA
"657",101,2001,8,NA,NA,0,NA
"658",101,2001,9,NA,NA,0,NA
"659",101,2001,10,NA,NA,0,NA
"660",101,2001,11,NA,NA,0,NA
"661",101,2001,12,NA,NA,0,NA
"662",101,2002,1,NA,NA,0,NA
"663",101,2002,2,NA,NA,0,NA
"664",101,2002,3,NA,NA,0,NA
"665",101,2002,4,1,NA,1,NA
